ent,mun,est,icpth
7,28,4,35904.598
7,28,5,10.487
7,29,1,37458.682
7,29,2,3919.405
7,29,3,31011.835
7,29,4,43905.529
7,29,5,10.463
7,30,1,30708.51
7,30,2,3210.743
7,30,3,25427.308
7,30,4,35989.712
7,30,5,10.456
7,31,1,25870.458
7,31,2,2085.045
7,31,3,22440.865
7,31,4,29300.051
7,31,5,8.06
7,32,1,30292.751
7,32,2,2031.766
7,32,3,26950.794
7,32,4,33634.708
7,32,5,6.707
7,33,1,24037.812
7,33,2,2537.118
7,33,3,19864.624
7,33,4,28211.001
7,33,5,10.555
7,34,1,34646.82
7,34,2,2985.336
7,34,3,29736.378
7,34,4,39557.262
7,34,5,8.616
7,35,1,38669.409
7,35,2,4043.813
7,35,3,32017.928
7,35,4,45320.889
7,35,5,10.457
7,36,1,29401.657
7,36,2,3075.668
7,36,3,24342.632
7,36,4,34460.681
7,36,5,10.461
7,37,1,46140.783
7,37,2,3803.551
7,37,3,39884.499
7,37,4,52397.067
7,37,5,8.243
7,38,1,25654.529
7,38,2,2123.788
7,38,3,22161.208
7,38,4,29147.849
7,38,5,8.278
7,39,1,28548.568
7,39,2,2348.716
7,39,3,24685.273
7,39,4,32411.862
7,39,5,8.227
7,40,1,49521.403
7,40,2,5176.702
7,40,3,41006.485
7,40,4,58036.321
7,40,5,10.453
7,41,1,24390.523
7,41,2,2006.453
7,41,3,21090.201
7,41,4,27690.844
7,41,5,8.226
7,42,1,27918.312
7,42,2,2942.814
7,42,3,23077.813
7,42,4,32758.811
7,42,5,10.541
7,43,1,37874.552
7,43,2,3959.435
7,43,3,31361.861
7,43,4,44387.244
7,43,5,10.454
7,44,1,30187.612
7,44,2,3154.587
7,44,3,24998.779
7,44,4,35376.446
7,44,5,10.45
7,45,1,30180.878
7,45,2,3158.983
7,45,3,24984.813
7,45,4,35376.942
7,45,5,10.467
7,46,1,38910.155
7,46,2,3237.334
7,46,3,33585.215
7,46,4,44235.095
7,46,5,8.32
7,47,1,27830.719
7,47,2,2330.223
7,47,3,23997.844
7,47,4,31663.594
7,47,5,8.373
7,48,1,46249.04
7,48,2,4880.955
7,48,3,38220.582
7,48,4,54277.497
7,48,5,10.554
7,49,1,24814.673
7,49,2,2685.418
7,49,3,20397.553
7,49,4,29231.793
7,49,5,10.822
7,50,1,37723.27
7,50,2,3275
7,50,3,32336.374
7,50,4,43110.166
7,50,5,8.682
7,51,1,39543.534
7,51,2,4130.776
7,51,3,32749.013
7,51,4,46338.056
7,51,5,10.446
7,52,1,18858.956
7,52,2,7.958
7,52,3,18845.867
7,52,4,18872.045
7,52,5,0.042
7,53,1,31509.346
7,53,2,3313.56
7,53,3,26059.026
7,53,4,36959.667
7,53,5,10.516
7,54,1,37998.961
7,54,2,3153.926
7,54,3,32811.214
7,54,4,43186.708
7,54,5,8.3
7,55,1,37379.741
7,55,2,3918.076
7,55,3,30935.08
7,55,4,43824.403
7,55,5,10.482
7,56,1,25501.636
7,56,2,2760.656
7,56,3,20960.762
7,56,4,30042.511
7,56,5,10.825
7,57,1,36749.259
7,57,2,2455.126
7,57,3,32710.936
7,57,4,40787.582
7,57,5,6.681
7,58,1,22086.794
7,58,2,2330.658
7,58,3,18253.204
7,58,4,25920.385
7,58,5,10.552
7,59,1,31036.171
7,59,2,2371.215
7,59,3,27135.87
7,59,4,34936.472
7,59,5,7.64
7,60,1,24001.926
7,60,2,2559.391
7,60,3,19792.103
7,60,4,28211.748
7,60,5,10.663
7,61,1,43265.852
7,61,2,3487.942
7,61,3,37528.697
7,61,4,49003.006
7,61,5,8.062
7,62,1,35001.749
7,62,2,3667.581
7,62,3,28969.115
7,62,4,41034.382
7,62,5,10.478
7,63,1,29508.446
7,63,2,3086.279
7,63,3,24431.969
7,63,4,34584.923
7,63,5,10.459
7,64,1,24520.347
7,64,2,2367.082
7,64,3,20626.843
7,64,4,28413.851
7,64,5,9.654
7,65,1,39725.923
7,65,2,3345.271
7,65,3,34223.441
7,65,4,45228.405
7,65,5,8.421
7,66,1,23328.786
7,66,2,2458.258
7,66,3,19285.311
7,66,4,27372.26
7,66,5,10.537
7,67,1,29995.454
7,67,2,3194.641
7,67,3,24740.737
7,67,4,35250.172
7,67,5,10.65
7,68,1,53985.191
7,68,2,4430.989
7,68,3,46696.863
7,68,4,61273.519
7,68,5,8.208
7,69,1,42942.747
7,69,2,3512.502
7,69,3,37165.194
7,69,4,48720.299
7,69,5,8.18
7,70,1,26596.708
7,70,2,2828.179
7,70,3,21944.768
7,70,4,31248.649
7,70,5,10.634
7,71,1,36666.375
7,71,2,3852.05
7,71,3,30330.317
7,71,4,43002.434
7,71,5,10.506
7,72,1,28766.929
7,72,2,3041.213
7,72,3,23764.578
7,72,4,33769.279
7,72,5,10.572
7,73,1,29593.758
7,73,2,3108.677
7,73,3,24480.439
7,73,4,34707.078
7,73,5,10.505
7,74,1,60937.401
7,74,2,5028.849
7,74,3,52665.68
7,74,4,69209.122
7,74,5,8.252
7,75,1,34835.84
7,75,2,3630.301
7,75,3,28864.526
7,75,4,40807.154
7,75,5,10.421
7,76,1,23870.41
7,76,2,2507.547
7,76,3,19745.862
7,76,4,27994.957
7,76,5,10.505
7,77,1,29193.563
7,77,2,3051.856
7,77,3,24173.707
7,77,4,34213.419
7,77,5,10.454
7,78,1,54570.545
7,78,2,3292.16
7,78,3,49155.424
7,78,4,59985.667
7,78,5,6.033
7,79,1,34768.215
7,79,2,2840.545
7,79,3,30095.934
7,79,4,39440.496
7,79,5,8.17
7,80,1,24797.249
7,80,2,2074.801
7,80,3,21384.506
7,80,4,28209.992
7,80,5,8.367
7,81,1,27469.054
7,81,2,2922.941
7,81,3,22661.244
7,81,4,32276.863
7,81,5,10.641
7,82,1,21613.551
7,82,2,2287.133
7,82,3,17851.552
7,82,4,25375.55
7,82,5,10.582
7,83,1,31023.084
7,83,2,3234.845
7,83,3,25702.238
7,83,4,36343.931
7,83,5,10.427
7,84,1,31545.938
7,84,2,3312.442
7,84,3,26097.455
7,84,4,36994.421
7,84,5,10.5
7,85,1,29439.507
7,85,2,3073.792
7,85,3,24383.569
7,85,4,34495.445
7,85,5,10.441
7,86,1,44580.954
7,86,2,3686.416
7,86,3,38517.338
7,86,4,50644.569
7,86,5,8.269
7,87,1,44078.194
7,87,2,4398.205
